Source.Name,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/17/2021,Single Family Residential,8019 Martha Washington St,Alexandria,VA,22309,505000,4,2,MOUNT VERNON WOODS,2340,11250,1952,288,216,,Sold,,,https://www.redfin.com/VA/Alexandria/8019-Martha-Washington-St-22309/home/9812271,BRIGHT MLS,VAFX1179524,N,Y,38.7384049,-77.101164
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/12/2021,Single Family Residential,5919 Kelley Ct,Alexandria,VA,22312,774480,3,3.5,LINCOLNIA HILLS,2031,16171,1956,262,381,,Sold,,,https://www.redfin.com/VA/Alexandria/5919-Kelley-Ct-22312/home/11856664,BRIGHT MLS,VAAX257036,N,Y,38.8279679,-77.1343823
redfin_2021-12-30-21-40-26.csv,PAST SALE,6/9/2021,Single Family Residential,4853 Basha Ct,Alexandria,VA,22310,1020000,5,4.5,ROSE HILL RESERVE,4984,8736,2011,204,205,90,Sold,,,https://www.redfin.com/VA/Alexandria/4853-Basha-Ct-22310/home/45404376,BRIGHT MLS,VAFX1185998,N,Y,38.7766401,-77.1167551
redfin_2021-12-30-21-40-26.csv,PAST SALE,9/14/2021,Single Family Residential,7934 Bayberry Dr,Alexandria,VA,22306,720000,4,2,SHERWOOD HALL,2100,15099,1965,107,343,,Sold,,,https://www.redfin.com/VA/Alexandria/7934-Bayberry-Dr-22306/home/9817246,BRIGHT MLS,VAFX2017850,N,Y,38.7406163,-77.0716689
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/30/2021,Single Family Residential,9008 Patton Blvd,Alexandria,VA,22309,812000,6,3,WOODLAWN MANOR,1860,48569,1964,122,437,,Sold,,,https://www.redfin.com/VA/Alexandria/9008-Patton-Blvd-22309/home/9825601,BRIGHT MLS,VAFX1206164,N,Y,38.7135129,-77.1200892
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/26/2021,Single Family Residential,5235 Navaho Dr,Alexandria,VA,22312,660000,6,3,LINCOLNIA PARK,2444,17129,1960,157,270,,Sold,,,https://www.redfin.com/VA/Alexandria/5235-Navaho-Dr-22312/home/9724176,BRIGHT MLS,VAFX1195792,N,Y,38.809412,-77.1543358
redfin_2021-12-30-21-40-26.csv,PAST SALE,1/29/2021,Single Family Residential,3706 Franconia Rd,Alexandria,VA,22310,610000,5,4,BURGUNDY FARM,1957,10550,1959,335,312,,Sold,,,https://www.redfin.com/VA/Alexandria/3706-Franconia-Rd-22310/home/9756274,BRIGHT MLS,VAFX1165716,N,Y,38.791838,-77.096585
redfin_2021-12-30-21-40-26.csv,PAST SALE,1/4/2021,Single Family Residential,3210 Wessynton Way,Alexandria,VA,22309,765000,3,3,WESSYNTON,1737,24563,1967,360,440,74,Sold,,,https://www.redfin.com/VA/Alexandria/3210-Wessynton-Way-22309/home/9826588,BRIGHT MLS,VAFX1157712,N,Y,38.7206232,-77.0861026
redfin_2021-12-30-21-40-26.csv,PAST SALE,2/5/2021,Single Family Residential,4905 Rutland Pl,Alexandria,VA,22304,799900,4,4,SEMINARY VALLEY,3180,9822,1956,328,252,,Sold,,,https://www.redfin.com/VA/Alexandria/4905-Rutland-Pl-22304/home/11853805,BRIGHT MLS,VAAX252416,N,Y,38.8163455,-77.1173922
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/1/2021,Single Family Residential,6010 Bitternut Dr,Alexandria,VA,22310,704000,4,3,FRANCONIA FOREST,2100,9818,1979,273,335,,Sold,,,https://www.redfin.com/VA/Alexandria/6010-Bitternut-Dr-22310/home/9752571,BRIGHT MLS,VAFX1183200,N,Y,38.7862378,-77.1538415
